Epoch,TrainLoss,TrainJaccard,TrainF1,TrainRecall,TrainPrecision,ValLoss,ValJaccard,ValF1,ValRecall,ValPrecision,Time(min:s)
1,0.7185215500863731,0.7044526685574566,0.8135975096198725,0.871924310889008,0.7888450519804251,0.5883583822783004,0.7591013893650532,0.852686050362245,0.881025040553631,0.8453525501185123,2m 44s
2,0.54816457639772,0.7721904134120927,0.8610748480590571,0.8983938558512238,0.8457949864001622,0.5020458859966156,0.7986635288056456,0.8790994989888328,0.9088274257100282,0.8658060679756533,2m 45s
3,0.483964315331574,0.798741393702677,0.8785662065912959,0.9116151601479331,0.8648641374860317,0.4478273109552708,0.8174994570590917,0.8916709166199962,0.918536990228453,0.8788616725501845,3m 10s
4,0.4523738792813416,0.8104404441643024,0.8864552746539975,0.9171025852421043,0.8737262981901941,0.42316433058140124,0.8247322869673447,0.8955970357542925,0.906411407114866,0.8985787782867661,2m 48s
5,0.42213514320393825,0.8222618702389877,0.8937620259946677,0.9216201469807337,0.8817432102876835,0.4080172041629223,0.8359371762187066,0.9039399067644718,0.9280499002176592,0.8909315969195488,2m 46s
6,0.41040428384398736,0.8274853759906449,0.8971191404779267,0.9243657829205881,0.8855052960748236,0.3990458950717398,0.83785975737017,0.9047726554840889,0.9394338527329162,0.8822896996141965,2m 45s
7,0.3966030590500392,0.8342585262112706,0.9019702722543802,0.9286137285536338,0.8897577902352529,0.380896934803496,0.8460324562446827,0.9103762164701884,0.9355404510997933,0.8954805259965949,2m 46s
8,0.3822051577851282,0.8389499492207878,0.9048013167704309,0.9293519874952499,0.894198318276228,0.3762108566279107,0.8456928465388583,0.9094821431047868,0.9258727706070398,0.9040492670568044,2m 53s
9,0.3758052703230939,0.8416025716153641,0.9066702830972122,0.930353053364896,0.8956149246372755,0.3679269550645605,0.8500566535041751,0.9125049394298388,0.936352921247891,0.8994123314958409,3m 28s
10,0.36562489496266587,0.8454279163588111,0.9090336442413329,0.9317860874878803,0.8993840527054708,0.3743388435625015,0.846014648628741,0.9096978904450611,0.9231047439402886,0.9073561406705353,3m 33s
11,0.35728243706708257,0.8486705549705651,0.9111377873136461,0.9334506266377804,0.9008582948662192,0.3591737596595541,0.8550686309729802,0.9153128099167109,0.9401540487267029,0.9018235473726992,3m 34s
12,0.3458327719717161,0.8524188989346048,0.9137401123967058,0.9351566299520166,0.9037353470300649,0.3430719868616855,0.8589864776470117,0.9183650248257749,0.933546463797697,0.912472148556496,3m 32s
13,0.34218673022292184,0.8549280223563305,0.91531539369912,0.9358389074010589,0.9055166092617979,0.3460965739919784,0.8584310532407838,0.9180903680279175,0.9351010164695063,0.9118717587510795,3m 33s
14,0.3372846875101962,0.856522739479569,0.9164414965082135,0.9371026978440178,0.9065041869082333,0.3412581965961355,0.8602486272460829,0.9192474903195522,0.938468022705467,0.9088596362967064,3m 33s
15,0.3323907587967866,0.8581244019870252,0.9172917646666767,0.9366902994208236,0.9086989529096978,0.3280687858449652,0.8661341435226091,0.9230454441542794,0.9459626725666376,0.9080037926803827,3m 33s
16,0.3232286291342255,0.8616256779498965,0.9196940180133701,0.9387051419391965,0.9108692306717103,0.32501054269836305,0.8672614761847715,0.9236616256211757,0.9386557621530462,0.916887013626588,3m 33s
17,0.3202526281911431,0.8627873450097892,0.920454520996663,0.9389957847205447,0.9117016999221439,0.33359661904421256,0.8646578063608606,0.9216709224388256,0.9317131179972237,0.920627899291968,3m 35s
18,0.3158931885945036,0.8646361178196618,0.9217521388753158,0.9404433256171024,0.9132177528231585,0.3223380186456315,0.8675208304608002,0.9238758246388349,0.9403145777412392,0.9163569697845045,2m 56s
19,0.30819818631131596,0.8677914166216821,0.9238088921971985,0.9418851467220464,0.9149580639072479,0.31979505305594585,0.8703354234265482,0.9258009152375368,0.949110286465565,0.9107654018397372,2m 45s
20,0.3048034650108493,0.8683370427506023,0.9239442268652327,0.9414572765040173,0.9154538383787806,0.30872781543021505,0.8737784094237535,0.9280442678885985,0.9465068491229549,0.9168196224929944,2m 45s
21,0.3045335701594116,0.8688922467002732,0.9241500376660766,0.9418535905248551,0.9161714088538845,0.319807823351089,0.869138468182152,0.9246836211823126,0.9352494240844177,0.9234341146111663,3m 25s
22,0.2973157895583633,0.8713995475469666,0.9260362159784553,0.9431924593609554,0.9172384670581206,0.3090007963015678,0.8733073570880779,0.9277401106453094,0.9430468250731592,0.9197090761568548,3m 34s
23,0.29408303928290697,0.8729301434998512,0.9269977553387829,0.9431936555297791,0.9189129533677777,0.3132000594063008,0.8719052950704381,0.9264243233403722,0.9374209078457122,0.9237522758611543,3m 34s
24,0.29228390890655787,0.8735335435564351,0.9274590121641945,0.944120394308159,0.919376043020283,0.29790279158252353,0.8786023649827791,0.9306626356387562,0.9485559771770983,0.9199258912359859,3m 35s
25,0.28723806370023297,0.875564040425125,0.9287994531212198,0.9451525435120955,0.92089498710535,0.2927893007055242,0.878438553645835,0.9309947092233678,0.9361848662679975,0.9327329984416739,3m 34s
26,0.2852672322633419,0.8770355113060103,0.929576120839853,0.9453760556108477,0.9212421451885187,0.2935521383868887,0.8789251342153013,0.9312836442655364,0.9464356293894189,0.9224072830391613,2m 59s
27,0.2803211288249239,0.879020773690364,0.9309027979774167,0.9463264568343813,0.9230820936227973,0.2884724644270349,0.8810907440878953,0.9325814613126953,0.9485644110566185,0.9232843242172437,2m 45s
28,0.27941596043025346,0.8790599679686535,0.9309808217987048,0.946060597270395,0.9233174234695742,0.3038038305462675,0.8751785014666191,0.928139298191615,0.9411122130565499,0.9231737931536655,2m 45s
