Epoch,TrainLoss,TrainJaccard,TrainF1,TrainRecall,TrainPrecision,ValLoss,ValJaccard,ValF1,ValRecall,ValPrecision,Time(min:s)
1,0.6962230179266364,0.7112820342701562,0.8190662044615059,0.8859802861618541,0.7876264747719145,0.5847484502993839,0.7606778676477182,0.8542239036497954,0.8894522322483667,0.8370450269257883,3m 10s
2,0.5404856632545726,0.7717850405593406,0.8604714566315811,0.9029312858373315,0.841501096875268,0.49665837766418997,0.8012050819833147,0.881424156344977,0.9285421978379226,0.8503920505548378,3m 19s
3,0.48127789899570966,0.7961911750139532,0.8768654206545656,0.9121803896592806,0.8611711002863803,0.44904991690541657,0.8160919095864122,0.8912102632006563,0.9110257531228585,0.8834371548065579,3m 38s
4,0.4492390247282649,0.8092667295492562,0.8854301027985372,0.9174212941800178,0.8719142868894287,0.4422980318186988,0.8164287076721815,0.8899861420810372,0.8976993130168939,0.894276951047551,3m 33s
5,0.42082601994004293,0.8200373070018058,0.8925076882015976,0.9205878211535158,0.8807389729984793,0.39432275211307366,0.8401104672696287,0.9065933351844906,0.9348875209214946,0.8894849882716629,3m 27s
6,0.40837899720052817,0.825656581724627,0.8959506086216399,0.9231355976109963,0.884527160878227,0.39656619832549295,0.8373658911934386,0.9037675729047432,0.9152452270923639,0.9020733961786108,3m 16s
7,0.39446171402568875,0.8309841909712073,0.899221311282205,0.9252872192993439,0.888193331294367,0.38239018640048067,0.842816853072383,0.908368689751334,0.9252419951247471,0.9027111247396019,3m 47s
8,0.38438017290413923,0.834913076467071,0.902174838736688,0.9271874408997862,0.8913012125672632,0.3759809310587359,0.8454301508454891,0.9101962684173465,0.9234571357577613,0.9064869042330551,3m 41s
9,0.37273496801548817,0.8399523630539708,0.9052823444046808,0.9296753210981334,0.8949315457918186,0.35878585111087474,0.8545514017400072,0.9165942541895548,0.9398511877472375,0.9017994615544751,3m 35s
10,0.3690768516081807,0.8420133627877504,0.906478617136952,0.9302084765594107,0.8960923860100982,0.3591990074221517,0.8552042833327804,0.917049877681431,0.9302480513293023,0.9115885555178072,3m 16s
11,0.3536865490185816,0.8474462764745709,0.9101443464001748,0.9318847875136511,0.9009829021748698,0.37411966919898987,0.8478742710323957,0.9118931698689023,0.9312417082463337,0.9031195306059493,3m 15s
12,0.3466691604410624,0.8500504200081154,0.9120211908918913,0.9339547534049472,0.9027494934454544,0.3377140485484835,0.8634511493747603,0.9221029455487434,0.9412166640257357,0.9105475792306967,3m 19s
13,0.3425583273262963,0.8518133112682617,0.9129740816027868,0.9341753953166025,0.9038405664882335,0.3357684673138068,0.8641711335178468,0.9227290476462052,0.9439343320489851,0.9084371952124208,3m 0s
14,0.33550819591548303,0.8553798447584027,0.9153866929043459,0.935811724355793,0.9063425992738304,0.33260473021319215,0.8646685276993452,0.9233114681126341,0.9441308528689855,0.9098014353295067,3m 7s
15,0.3330987411972962,0.8555464811608087,0.9154714498353376,0.9355572682169345,0.9069341698694366,0.32813601909388956,0.8660824223246494,0.9240137061793519,0.9366985302130904,0.917905268322764,3m 19s
16,0.3209873515784197,0.8607611715595385,0.9192604706325556,0.9379317259171538,0.9105969410954496,0.33343183154791173,0.8664243928309691,0.9238116215844827,0.9524212324022687,0.9048601223494983,3m 22s
17,0.3159604210259342,0.8618266839728408,0.919616739221125,0.9386773777852883,0.9112297157312856,0.3167284431172089,0.8707698310399948,0.9268028753456835,0.9384209244615317,0.9218032795724542,2m 59s
18,0.3108083564097396,0.8650587003594848,0.9217914597027957,0.9402408571495576,0.9134745249866478,0.31783111708264955,0.8703989070254501,0.9254593847629455,0.9426795768483263,0.9166468629418573,2m 59s
19,0.3066408935379475,0.8660803054693713,0.9222413574514978,0.9405473389343026,0.9141853618405504,0.3160414699937256,0.8708823219479769,0.9265655790847634,0.946949393593371,0.9140921012829212,3m 1s
20,0.3052427078905801,0.8668187247424465,0.9225906852544403,0.939619080523329,0.9150652578047784,0.3168866344740693,0.870498681643505,0.9262285704880976,0.9436225647146363,0.9162215629929364,3m 5s
21,0.30282754516710264,0.8677810584582463,0.9234886667511147,0.9408342384110733,0.9153155745081625,0.31303148748169485,0.875523237691396,0.9294804999124971,0.9484377217943709,0.9175315475786701,3m 0s
22,0.29804570864217983,0.8699470142301977,0.9247268912845129,0.9420712495105946,0.9168308733820071,0.3074691887472717,0.8729224195482291,0.9277587409678663,0.939754800489338,0.9229217114049835,3m 8s
23,0.29410687161434024,0.8715993267869188,0.9259257448272512,0.9427537129727962,0.9180923279087898,0.30163117970379305,0.8774211725228276,0.9307586595783174,0.950142724815219,0.9180297031417953,3m 1s
24,0.2874221229716275,0.8739101287199107,0.9277492290031524,0.9437315073681692,0.9200818969481739,0.29715650413237826,0.8794003994251852,0.9323115798273861,0.954402017498052,0.9171459509819209,3m 16s
25,0.28492742912747576,0.8753809690092297,0.9283305793728597,0.9445072764970766,0.9207361354728527,0.29601736786499827,0.8796557905342186,0.9321145046030981,0.9472143596415142,0.9231161593832651,3m 41s
26,0.28081922368981554,0.8766742162734661,0.9294564394643102,0.9449308460820863,0.9217671338640339,0.3144417021056296,0.8712471396736857,0.9265344942843461,0.9343755737694208,0.9252147594197969,2m 59s
27,0.27890757206363154,0.877707953250426,0.9301583612467741,0.9453884440469031,0.9223819240175147,0.2960325710370507,0.880668375009611,0.9327924673201319,0.9500993313642956,0.9215949161634447,3m 0s
28,0.275579812044793,0.8781880587916524,0.9305938350896833,0.9451674712297253,0.9234025819728884,0.2912793052448353,0.8811786232556822,0.9327773695089747,0.9459091906070887,0.9261465773084478,3m 49s
